12/12/2014 10:19:00,Useld,T'moze,I will supply my own laptop,,I do not need childcare.,I do not have a Treehouse account,Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",Expand Code of Conduct Expand Image Release,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",4779 Seneca Drive,,Portland,OR,97218,503-972-1046,ckeeton@dayrep.com,Use the Payment Plan (Deposit required upon registration),,,1,"I have read and understand the above ""Tuition and Termination Policies"". I understand that the above is an informational summary and that all details will be presented for signature and acceptance upon completion of my Genesis Financial Loan Application.",I have booked a time with PCS staff at https://collaine.youcanbook.me/ for an onsite financial meeting.,30,6995,1314,1,1314,,Chrome 41.0.2247.0 / OS X 10.9 Mavericks,,175429858,Completed
12/9/2014 19:42:00,Geumra,T'estis,I will supply my own laptop,,I do not need childcare.,I do not have a Treehouse account,Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",2633 Kincheloe Road,,Stayton,OR,97383,503-446-2369,ctardiff@teleworm.us,Pay In Full,1,"I have read and agree to adhere to the conditions of the ""Tuition and Termination Policies"" above.",,,,30,6995,1314,1,6995,,Firefox 29.0 / Windows 7,,175099137,Completed
12/18/2014 15:58:00,Gioslia,Sala,I will supply my own laptop,,I do not need childcare.,"I have a Treehouse account, make it free!",Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",Expand Code of Conduct Expand Image Release,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",978 Haymond Rocks Road,,Alsea,OR,97324,541-487-8963,pkerr@dayrep.com,Pay In Full,1,"I have read and agree to adhere to the conditions of the ""Tuition and Termination Policies"" above.",,,,30,6995,1314,1,6995,,Chrome 39.0.2171.95 / OS X,,176279558,Completed
1/3/2015 11:33:00,Laet,Radise,I will supply my own laptop,,I do not need childcare.,"I have a Treehouse account, make it free!",Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",Expand Code of Conduct,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",301 Seneca Dr.,,Portland,OR,97205,503-916-7785,eiraheta@teleworm.us,Pay In Full,1,"I have read and agree to adhere to the conditions of the ""Tuition and Termination Policies"" above.",,,,30,6995,1314,1,6995,,Chrome 39.0.2171.95 / OS X 10.7 Lion,,177561289,Completed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STUDENTS WHO DROPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Had to drop before class started due to other financial obligations,Gelezus,T'vaix,I will supply my own laptop,,I want to enroll in Coders with Kids.,"I have a Treehouse account, make it free!",,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",4156 Hope Street,,Portland,OR,97230,971-227-5521,mlee@gmail.com,Use the Payment Plan (Deposit required upon registration),,,1,"I have read and understand the above ""Tuition and Termination Policies"". I understand that the above is an informational summary and that all details will be presented for signature and acceptance upon completion of my Genesis Financial Loan Application.",I have booked a time with PCS staff at https://collaine.youcanbook.me/ for an onsite financial meeting.,30,6995,1314,1,1314,,Chrome 38.0.2125.122 / OS X 10.9 Mavericks,,174933231,Completed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAD END LEADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrolled in a class in NY.,Enry Sezor,esezor@gmail.com,JavaScript (Immersion) or JS Evening - unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Has said she cannot afford it right now (11/26),Tar'yae Iessiris,tiessiris@gmail.com,"JavaScript (Immersion, 3 months)",,,I do not have childcare needs,,,,,,,,I will supply my own laptop,,,,,,,,,,,,,,,,,,,
Decided to pursue a different option,Ceestny Hetis,chetis@gmail.com,"JavaScript (Immersion, 13 weeks)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Nyyrya M'losava,nmlosava@gmail.com,JSi January 2015,"Requested more Information, is not sure this is the right class for him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Nirmesy Sesir,nsesir@gmail.com,JSi January 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Moifela Heliris,mheliris@gmail.com,"JS Immersion January, 2015",10/14/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Derytia ???,derytia@gmail.com,JavaScript (Immersion),Requested more Information - responded and waited for him to apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Vain T'erjah,vterjah@gmail.com,JavaScript (Immersion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Staaru T'losan,stlosan@yahoo.com,JavaScript (Immersion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Sasme T'peius,stpeius@gmail.com,JavaScript (Immersion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Eshekamey T'easus,eteasus@gmail.com,"JavaScript (Immersion, 3 months)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Ceeenme D'biesi,cdbiesi@gmail.com,"JavaScript (Immersion, 3 months)",,,I do not have childcare needs,,,,,,,,I will supply my own laptop,,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Irifetea M'prizea,imprizea@gmail.com,"JavaScript (Immersion, 3 months)",,,I do not have childcare needs,,,,,,,,I would like to rent a laptop from PCS ($30/month),,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Kaarvmea T'esli,ktesli@outlook.com,"JavaScript (Immersion, 13 weeks)",,,I do not have childcare needs,,,,,,,,I will supply my own laptop,,,,,,,,,,,,,,,,,,,
Sent Follow Up 12/1/14 - No Response,Shaanaze Saeri,ssaeri@yahoo.com,"JavaScript (Immersion, 13 weeks)",,,I do not have childcare needs,,,,,,,,I will supply my own laptop,,,,,,,,,,,,,,,,,,,
Filled out enrollment form while it was public but did not pay. Kristina responded. Waiting for them to apply. 12/1/14,Amuc,Peix,I will supply my own laptop,,I do not need childcare.,I do not have a Treehouse account,Expand Program Description and Terms,"I have read and agree to adhere to the conditions of the ""Program Description and Terms""",Expand Code of Conduct,"I have read and agree to adhere to the conditions of the ""Code of Conduct"" and ""Image Release""",208 Hope Street,,Portland,OR,97232,971-533-6845,dstubbs@dayrep.com,Pay In Full,1,"I have read and agree to adhere to the conditions of the ""Tuition and Termination Policies"" above.",,,30,6995,1,6995,,Chrome 38.0.2125.111 / OS X,,173804358,,,
"Kristina responded. Waiting for them to schedule appt. Applied about a month ago, never responded to next steps email",Luiya M'losir,lmlosir@gmail.com,"JavaScript (Immersion, 13 weeks), Javascript (Evening, 17 weeks)",,,"I have young kids, and I'm interested in the Coders with Kids program!",,,,,,,,I will supply my own laptop,,,,,,,,,,,,,,,,,,,
"Successful Interview - Cannot Pay now, will probably follow up for next session",Phegaphea,pblassi@yahoo.com,"JavaScript (Immersion, 13 weeks)",,,I do not have childcare needs,,,,Sabuto,,,,I will supply my own laptop,,,,,,,,,,,,,,,,,,,
Sent Acceptance Letter - No Response,Holollvi Ledavius,hledavius@gmail.com,JavaScript (Immersion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Has not been able to raise the deposit or make the payments. We've encouraged him to check back in the spring when Climb is hopefully in place.,Jonune T'reva,jtreva@outlook.com,"JavaScript (Immersion, 13 weeks)",,,I do not have childcare needs,,,,T'reva,,,,I will supply my own laptop,,,,,,,,,,,,,,,,,,,
Decided on Epicodus,Siesega,siesega44@gmail.com,"JavaScript (Immersion, 13 weeks)",,,I do not have childcare needs,,,,Shatora,,,,I will supply my own laptop,,,,,,,,,,,,,,,,,,,
Kristina responded. Waiting for them to schedule appt. - No Response,Poress D'biela,pdbiela@gmail.com,"JavaScript (Immersion, 13 weeks)",,,I do not have childcare needs,,,,,,,,I will supply my own laptop,,,,,,,,,,,,,,,,,,,
Kristina responded. Waiting for them to schedule appt. - No Response,Fa'shada Caliros,fcaliros@gmail.com,"JavaScript (Immersion, 13 weeks)",,,I do not have childcare needs,,,,Caliros,,,,,,,,,,,,,,,,,,,,,,,
Kristina responded. Waiting for them to schedule appt. - No Response,Pheianea,phenylalala@gmail.com,"JavaScript (Immersion, 13 weeks)",,,I do not have childcare needs,,,,Aveix,,,,I will supply my own laptop,,,,,,,,,,,,,,,,,,,
